label,constraint,period,cap,used,slack,binding
Carbon cap 100%,carbon_cap,,249.5564001720916,249.5564001720916,0.0,True
Carbon cap 95%,carbon_cap,,237.078580163487,235.12168307416482,1.956897089322183,False
Carbon cap 90%,carbon_cap,,224.60076015488244,224.6007601548824,2.842170943040401e-14,True
Carbon cap 85%,carbon_cap,,212.12294014627784,212.12294014627778,5.684341886080802e-14,True
Carbon cap 80%,carbon_cap,,199.6451201376733,199.6451201376733,0.0,True
Carbon cap 75%,carbon_cap,,187.1673001290687,187.16730012906868,2.842170943040401e-14,True
Handoff-contract hard envelope,carbon_cap,,212.12294014627784,210.26867329632623,1.854266849951614,False
Handoff-contract hard envelope,water_cap,winter,92.90236229082491,91.68283142489258,1.2195308659323274,False
Handoff-contract hard envelope,water_cap,spring,110.35026773140379,109.46757420287663,0.882693528527156,False
Handoff-contract hard envelope,water_cap,summer,165.50670197089403,165.50670197089406,-2.842170943040401e-14,True
Handoff-contract hard envelope,water_cap,autumn,108.0429095637905,106.2224492362966,1.8204603274939046,False
Water cap 100%,water_cap,winter,103.22484698980546,103.22484698980546,0.0,True
Water cap 100%,water_cap,spring,122.61140859044865,122.61140859044865,0.0,True
Water cap 100%,water_cap,summer,183.89633552321558,183.89633552321558,0.0,True
Water cap 100%,water_cap,autumn,120.04767729310055,120.04767729310055,0.0,True
Water cap 95%,water_cap,winter,98.06360464031518,96.72022013645169,1.34338450386349,False
Water cap 95%,water_cap,spring,116.48083816092621,115.39466792727613,1.0861702336500798,False
Water cap 95%,water_cap,summer,174.7015187470548,174.70151874705482,-2.842170943040401e-14,True
Water cap 95%,water_cap,autumn,114.04529342844552,112.07603692984195,1.9692564986035705,False
Water cap 90%,water_cap,winter,92.90236229082491,91.68283142489258,1.2195308659323274,False
Water cap 90%,water_cap,spring,110.35026773140379,109.46757420287663,0.882693528527156,False
Water cap 90%,water_cap,summer,165.50670197089403,165.50670197089408,-5.684341886080802e-14,True
Water cap 90%,water_cap,autumn,108.0429095637905,106.2224492362966,1.8204603274939046,False
Water cap 85%,water_cap,winter,87.74111994133463,87.74111994133465,-1.4210854715202004e-14,True
Water cap 85%,water_cap,spring,104.21969730188135,104.21969730188134,1.4210854715202004e-14,True
Water cap 85%,water_cap,summer,156.31188519473324,156.31188519473326,-2.842170943040401e-14,True
Water cap 85%,water_cap,autumn,102.04052569913546,102.04052569913544,1.4210854715202004e-14,True
