seed,baseline_status,hard_status,frozen_status,cost_increase_pct,status,has_solution,demand_error,capacity_excess,link_excess,strategic_excess,integer_error,carbon_error,water_error
11,2,2,3,2.7292359948492884,2,True,1.4210854715202004e-14,6.750155989720952e-14,1.4210854715202004e-14,0,0.0,0.0,0.0
12,2,2,3,2.4954623220215355,2,True,7.105427357601002e-15,3.979039320256561e-13,0.0,0,0.0,0.0,0.0
13,2,2,3,2.6252089236010967,2,True,0.0,3.552713678800501e-13,0.0,0,0.0,0.0,0.0
14,2,2,3,2.58871661672595,2,True,0.0,3.694822225952521e-13,0.0,0,0.0,0.0,0.0
15,2,2,3,2.6592315725039617,2,True,0.0,7.105427357601002e-14,0.0,0,0.0,0.0,0.0
16,2,2,3,2.6105049178465567,2,True,0.0,3.126388037344441e-13,0.0,0,0.0,0.0,0.0
17,2,2,3,2.608118266854209,2,True,0.0,2.5579538487363607e-13,0.0,0,0.0,0.0,0.0
18,2,2,3,2.6266351751103256,2,True,0.0,4.547473508864641e-13,0.0,0,0.0,0.0,0.0
19,2,2,3,2.6303946019483826,2,True,0.0,3.410605131648481e-13,0.0,0,0.0,0.0,0.0
20,2,2,3,2.713537462752269,2,True,0.0,7.460698725481052e-14,0.0,0,0.0,0.0,0.0
