solution,status,num_variables,num_constraints,runtime_s,mip_gap,objective_bound
audit_4,2,840,1076,0.0012660026550292969,0.0,0.6209150326797183
price_C40_W5,2,835,1071,0.2642247676849365,0.0,10895.554835949959
internal_price_nearest_targets,2,835,1071,0.30608201026916504,0.0,7053.2912202106145
accounting_market_time_baseline,2,835,1071,0.03139185905456543,0.0,4567.285221652146
accounting_location_time_cap,2,835,1072,0.3383748531341553,0.0,4605.5147272735885
price_C0_W0,2,835,1071,0.03162503242492676,0.0,4567.285221652146
interconnection_4,2,835,1071,0.021491050720214844,0.0,5240.751183496423
price_C20_W2,2,835,1071,0.284290075302124,0.0,8166.625714430202
price_C2_W40,2,835,1071,0.21335506439208984,0.0,21356.92257683348
price_C80_W80,2,835,1071,0.07255816459655762,0.0,42142.53493498674
price_C80_W2,2,835,1071,0.3237318992614746,0.0,12421.928431625913
price_C5_W10,2,835,1071,0.12197303771972656,0.0,9894.884906584972
water_cap_100,2,835,1075,0.07316398620605469,0.0,4567.285221652144
accounting_location_annual_cap,2,835,1072,0.22326111793518066,0.0,4604.2689524911075
carbon_cap_90,2,835,1072,0.2525980472564697,0.0,4586.372698138262
price_C2_W20,2,835,1071,0.31255292892456055,0.0,13701.497842506791
price_C10_W10,2,835,1071,0.3545999526977539,0.0,10486.457796274353
accounting_market_time_cap,2,835,1072,0.053176164627075195,0.0,4567.285221652144
price_C5_W2,2,835,1071,0.08335590362548828,0.0,6459.351327619041
audit_5,2,835,1076,0.0010688304901123047,0.0,4691.937213908907
accounting_market_annual_baseline,2,835,1071,0.031414031982421875,0.0,4567.285221652146
price_C40_W80,2,835,1071,0.11070919036865234,0.0,39274.01628354064
price_C5_W5,2,835,1071,0.1950550079345703,0.0,7764.0856261509825
price_C5_W20,2,835,1071,0.5736448764801025,0.0,14057.341743742983
price_C10_W40,2,835,1071,0.10904288291931152,0.0,22020.362940762494
interconnection_2,2,835,1071,0.015598058700561523,0.0,4795.53397089502
price_C0_W80,2,835,1071,0.07171010971069336,0.0,36063.17873509264
price_C20_W5,2,835,1071,0.30861496925354004,0.0,9472.859300481547
price_C20_W80,2,835,1071,0.02342700958251953,0.0,37671.41933407648
carbon_cap_80,2,835,1072,0.387404203414917,0.0,4647.370545486765
carbon_cap_100,2,835,1072,0.0837700366973877,0.0,4567.285221652141
accounting_market_annual_cap,2,835,1072,0.04274296760559082,0.0,4567.285221652145
price_C2_W0,2,835,1071,0.04624581336975098,0.0,5025.031569911162
water_cap_90,2,835,1075,0.3106980323791504,0.0,4691.937213908906
audit_3,3,835,1076,0.000865936279296875,,inf
price_C40_W2,2,835,1071,0.3697831630706787,0.0,9747.861433905387
carbon_cap_75,2,835,1072,0.4467580318450928,0.0,4689.262150272478
price_C10_W20,2,835,1071,0.4207601547241211,0.0,14483.082631628346
price_C5_W40,2,835,1071,0.30973100662231445,0.0,21618.30279101653
price_C10_W0,2,835,1071,0.1710190773010254,0.0,6191.230291854424
price_C80_W5,2,835,1071,0.2643721103668213,0.0,13579.763938377178
interconnection_0.5,2,835,1071,0.1269209384918213,0.0,4445.932075305374
price_C2_W10,2,835,1071,0.11254596710205078,0.0,9525.43607450671
price_C0_W20,2,835,1071,0.33346009254455566,0.0,13460.381428796525
price_C80_W10,2,835,1071,0.29563093185424805,0.0,15507.000130172237
price_C5_W80,2,835,1071,0.035820960998535156,0.0,36465.2388848386
carbon_cap_95,2,835,1072,0.13509893417358398,0.0,4575.602450836244
accounting_location_annual_baseline,2,835,1071,0.03123617172241211,0.0,4567.285221652146
baseline,2,835,1071,0.0335850715637207,0.0,4567.285221652146
price_C40_W20,2,835,1071,0.2098250389099121,0.0,16611.451572617145
price_C20_W40,2,835,1071,0.2880990505218506,0.0,22792.166821087878
water_cap_85,2,835,1075,0.4103991985321045,0.0,4855.794360520258
price_C40_W0,2,835,1071,0.26112818717956543,0.0,8974.59613486378
price_C2_W2,2,835,1071,0.30008411407470703,0.0,6046.63908714535
price_C0_W40,2,835,1071,0.3066139221191406,0.0,21158.09427121924
price_C10_W80,2,835,1071,0.04521894454956055,0.0,36867.29903458456
price_C0_W5,2,835,1071,0.30608201026916504,0.0,7053.2912202106145
interconnection_1,2,835,1071,0.03121209144592285,0.0,4567.285221652146
price_C40_W40,2,835,1071,0.2147669792175293,0.0,24201.29408330915
price_C10_W2,2,835,1071,0.2948338985443115,0.0,7075.4991403792965
price_C20_W20,2,835,1071,0.23371100425720215,0.0,15207.318800024514
price_C80_W20,2,835,1071,0.25496411323547363,0.0,19353.0761250374
price_C20_W0,2,835,1071,0.05514407157897949,0.0,7284.221680735975
price_C0_W2,2,835,1071,0.1545579433441162,0.0,5584.738297481794
carbon_cap_85,2,835,1072,0.3482170104980469,0.0,4605.5147272735885
price_20_10,2,835,1071,0.2713441848754883,0.0,11408.444818131458
price_C0_W10,2,835,1071,0.1719679832458496,0.0,9276.281925878306
price_C2_W5,2,835,1071,0.1408700942993164,0.0,7373.7714490074895
water_cap_95,2,835,1075,0.11000990867614746,0.0,4588.704459724036
audit_6,2,835,1086,0.6085050106048584,0.0,5774.347101673307
price_C10_W5,2,835,1071,0.2243199348449707,0.0,8371.115761096999
price_C80_W0,2,835,1071,0.2712578773498535,0.0,11650.038093791736
handoff_hard_envelope,2,835,1076,0.36415600776672363,0.0,4691.937213908908
price_C40_W10,2,835,1071,0.22626590728759766,0.0,12802.299758826557
price_C80_W40,2,835,1071,0.10062217712402344,0.0,26981.46471849113
accounting_location_time_baseline,2,835,1071,0.031408071517944336,0.0,4567.285221652146
price_C2_W80,2,835,1071,0.09763503074645996,0.0,36224.00279499103
audit_7,3,835,1086,0.0004990100860595703,,inf
price_C5_W0,2,835,1071,0.10577797889709473,0.0,5562.45583045811
price_C20_W10,2,835,1071,0.2713441848754883,0.0,11408.444818131458
