label,status,objective,economic_cost,first_stage_cost,operating_cost,latency_proxy,expected_co2,expected_water,co2_intensity,water_intensity,opened_sites,num_opened_sites,active_links,committed_capacity,accounting_mode,variant,gamma_co2,co2_slack,lambda_c,lambda_w,interconnect_cost_multiplier,binding_water_periods,experiment
"Price C=0, W=0",2,4567.285221652146,4567.285221652146,3215.3823905655386,1351.9028310866072,0.0,249.5564001720916,529.7802683965702,0.1993090987133784,0.4231108788932614,"C1,C2,C3,C4,S1,S3",6,13,386.6865220830172,location_time,priced,,,0,0,1.0,,internal_price_sweep
"Price C=0, W=2",2,5584.738297481795,4588.795398780681,3240.750535837966,1348.044862942715,0.0,240.51335138979974,497.97144935055707,0.19208683592558048,0.39770665343229955,"C1,C2,C3,C4,S1,S3",6,14,386.68652208301734,location_time,priced,,,0,2,1.0,,internal_price_sweep
"Price C=0, W=5",2,7053.291220210613,4698.914166911214,3343.3202365259654,1355.5939303852483,0.0,211.5728740425372,470.8754106598799,0.16897342167357085,0.37606630661523704,"C1,C2,C3,C4,S1,S3",6,14,386.68652208301694,location_time,priced,,,0,5,1.0,,internal_price_sweep
"Price C=0, W=10",2,9276.281925878306,4927.569368797008,3535.5840059683132,1391.9853628286944,0.0,135.9313758882305,434.8712557081297,0.1085620725273728,0.3473114613441012,"C1,C2,C3,C4,S1,S3",6,15,386.68652208301745,location_time,priced,,,0,10,1.0,,internal_price_sweep
"Price C=0, W=20",2,13460.381428796525,5185.611084471841,3631.6221273760843,1400.7103138316998,153.27864326405748,120.55820685513261,413.7385172162342,0.09628423688684325,0.3304337252521368,"C1,C2,C3,C4,S1,S3",6,15,386.68652208301756,location_time,priced,,,0,20,1.0,,internal_price_sweep
"Price C=0, W=40",2,21158.094271219237,6151.8249280956525,4246.387737615972,1540.4199106952053,365.01727978447565,99.78892677664793,375.1567335780896,0.0796967781379835,0.29962024774416496,"C1,C2,C3,C4,S1,S3,S4",7,15,386.68652208301756,location_time,priced,,,0,40,1.0,,internal_price_sweep
"Price C=0, W=80",2,36063.17873509265,6369.306547448503,4316.768512423554,1537.7696047187126,514.7684303062359,80.41202994919206,371.17340234555184,0.06422135118087416,0.2964389462135832,"C1,C2,C3,C4,S1,S3,S4",7,15,386.6865220830177,location_time,priced,,,0,80,1.0,,internal_price_sweep
"Price C=2, W=0",2,5025.0315699111625,4594.227425653378,3229.1573749613726,1365.0700506920061,0.0,215.40207212889166,538.7451277243937,0.17203162422361568,0.430270695397621,"C1,C2,C3,C4,S1,S3",6,14,386.6865220830168,location_time,priced,,,2,0,1.0,,internal_price_sweep
"Price C=2, W=2",2,6046.63908714535,4775.477054926355,3403.1972165809652,1372.2798383453894,0.0,176.84868062725903,458.73233548223817,0.14124082219555475,0.36636819681883187,"C1,C2,C3,C4,S1,S3",6,14,386.6865220830175,location_time,priced,,,2,2,1.0,,internal_price_sweep
"Price C=2, W=5",2,7373.771449007488,4925.376456556898,3533.626984686303,1391.7494718705948,0.0,136.42341776449265,435.1096313843212,0.1089550435063556,0.3475018409181941,"C1,C2,C3,C4,S1,S3",6,15,386.68652208301745,location_time,priced,,,2,5,1.0,,internal_price_sweep
"Price C=2, W=10",2,9525.436074506713,5019.128937822733,3613.29370029321,1405.835237529523,0.0,123.2724905662845,425.9762155551411,0.09845200914092703,0.3402074061698443,"C1,C2,C3,C4,S1,S3",6,15,386.68652208301756,location_time,priced,,,2,10,1.0,,internal_price_sweep
"Price C=2, W=20",2,13701.497842506791,5185.611084471841,3631.6221273760843,1400.7103138316998,153.27864326405748,120.55820685513271,413.73851721623424,0.09628423688684333,0.3304337252521369,"C1,C2,C3,C4,S1,S3",6,15,386.68652208301756,location_time,priced,,,2,20,1.0,,internal_price_sweep
"Price C=2, W=40",2,21356.922576833484,6158.417940730117,4246.38773761597,1540.1564997952146,371.873703318933,99.36286877777444,374.9944724636954,0.07935650541527815,0.2994906573331644,"C1,C2,C3,C4,S1,S3,S4",7,15,386.6865220830173,location_time,priced,,,2,40,1.0,,internal_price_sweep
"Price C=2, W=80",2,36224.002794991036,6369.306547448501,4316.768512423553,1537.7696047187123,514.7684303062359,80.41202994919206,371.1734023455518,0.06422135118087416,0.2964389462135832,"C1,C2,C3,C4,S1,S3,S4",7,15,386.6865220830175,location_time,priced,,,2,80,1.0,,internal_price_sweep
"Price C=5, W=0",2,5562.4558304581105,4917.097054219705,3519.4938275536933,1397.6032266660113,0.0,129.0717552476811,451.015198650571,0.1030836123218209,0.3602048782843974,"C1,C2,C3,C4,S1,S3",6,15,386.6865220830173,location_time,priced,,,5,0,1.0,,internal_price_sweep
"Price C=5, W=2",2,6459.351327619041,4937.902283468232,3538.79744200633,1399.1048414619015,0.0,125.72039085478293,446.4235449384478,0.10040703333547543,0.3565377378610857,"C1,C2,C3,C4,S1,S3",6,15,386.68652208301705,location_time,priced,,,5,2,1.0,,internal_price_sweep
"Price C=5, W=5",2,7764.085626150982,5017.922963053128,3611.7356103536554,1406.1873526994727,0.0,123.07267653277373,426.15985608679716,0.09829242695869546,0.3403540713278061,"C1,C2,C3,C4,S1,S3",6,15,386.6865220830169,location_time,priced,,,5,5,1.0,,internal_price_sweep
"Price C=5, W=10",2,9894.884906584972,5017.922963053132,3611.7356103536595,1406.1873526994727,0.0,123.07267653277377,426.15985608679716,0.09829242695869549,0.3403540713278061,"C1,C2,C3,C4,S1,S3",6,15,386.68652208301756,location_time,priced,,,5,10,1.0,,internal_price_sweep
"Price C=5, W=20",2,14057.341743742985,5766.612660421731,4131.104442131503,1482.22957502617,153.27864326405748,103.17381362357392,388.74300076016914,0.08240012995040892,0.3104709679223376,"C1,C2,C3,C4,S1,S3,S4",7,15,386.6865220830176,location_time,priced,,,5,20,1.0,,internal_price_sweep
"Price C=5, W=40",2,21618.302791016533,6369.306547448499,4316.768512423551,1537.7696047187123,514.7684303062359,80.41202994919205,371.1734023455517,0.06422135118087416,0.29643894621358313,"C1,C2,C3,C4,S1,S3,S4",7,15,386.6865220830174,location_time,priced,,,5,40,1.0,,internal_price_sweep
"Price C=5, W=80",2,36465.238884838596,6369.306547448494,4316.768512423545,1537.7696047187128,514.7684303062363,80.41202994919207,371.1734023455518,0.06422135118087417,0.2964389462135832,"C1,C2,C3,C4,S1,S3,S4",7,15,386.6865220830165,location_time,priced,,,5,80,1.0,,internal_price_sweep
"Price C=10, W=0",2,6191.230291854425,4964.693092429695,3564.270670199197,1400.4224222304981,0.0,122.65371994247285,442.13442426243626,0.09795782580097995,0.35311221651352953,"C1,C2,C3,C4,S1,S3",6,15,386.6865220830176,location_time,priced,,,10,0,1.0,,internal_price_sweep
"Price C=10, W=2",2,7075.499140379296,4964.693092429695,3564.270670199197,1400.4224222304981,0.0,122.65371994247285,442.13442426243626,0.09795782580097995,0.35311221651352953,"C1,C2,C3,C4,S1,S3",6,15,386.6865220830176,location_time,priced,,,10,2,1.0,,internal_price_sweep
"Price C=10, W=5",2,8371.115761096999,5016.75629203182,3607.917984941826,1408.8383070899936,0.0,120.06951654711709,430.73286071880165,0.09589394264965531,0.3440063175975407,"C1,C2,C3,C4,S1,S3",6,15,386.6865220830176,location_time,priced,,,10,5,1.0,,internal_price_sweep
"Price C=10, W=10",2,10486.457796274353,5115.743772671031,3645.3554124672874,1403.3663211841842,67.02203901956044,116.51298353372918,420.55841882660303,0.09305350502131196,0.33588046371422076,"C1,C2,C3,C4,S1,S3",6,16,386.68652208301756,location_time,priced,,,10,10,1.0,,internal_price_sweep
"Price C=10, W=20",2,14483.08263162834,6015.7625399723265,4208.682025124579,1474.851275685601,332.2292391621468,78.78181540547371,383.97509688006386,0.0629193745888337,0.30666306468106425,"C1,C2,C3,C4,S1,S3,S4",7,15,386.68652208301756,location_time,priced,,,10,20,1.0,,internal_price_sweep
"Price C=10, W=40",2,22020.36294076249,6369.306547448499,4316.76851242355,1537.7696047187128,514.768430306236,80.41202994919207,371.17340234555184,0.06422135118087417,0.2964389462135832,"C1,C2,C3,C4,S1,S3,S4",7,15,386.68652208301717,location_time,priced,,,10,40,1.0,,internal_price_sweep
"Price C=10, W=80",2,36867.299034584576,6369.306547448502,4316.768512423553,1537.7696047187126,514.7684303062359,80.41202994919206,371.17340234555184,0.06422135118087416,0.2964389462135832,"C1,C2,C3,C4,S1,S3,S4",7,15,386.68652208301756,location_time,priced,,,10,80,1.0,,internal_price_sweep
"Price C=20, W=0",2,7284.221680735976,5321.383090921688,3705.4883340345855,1420.4566532393465,195.43810364775595,98.14192949071445,445.9824447946976,0.07838139794971176,0.3561854516763493,"C1,C2,C3,C4,S1,S3",6,15,386.68652208301756,location_time,priced,,,20,0,1.0,,internal_price_sweep
"Price C=20, W=2",2,8166.625714430201,5193.231146915861,3662.995693580046,1413.9628406544746,116.27261268134063,105.03390645788399,436.35821917832976,0.08388569964957873,0.3484990299612992,"C1,C2,C3,C4,S1,S3",6,16,386.6865220830176,location_time,priced,,,20,2,1.0,,internal_price_sweep
"Price C=20, W=5",2,9472.859300481545,5169.817737196052,3662.995693580046,1411.7452066425913,95.07683697341417,106.532294890508,434.4791330950669,0.085082392853291,0.34699829123689985,"C1,C2,C3,C4,S1,S3",6,16,386.68652208301756,location_time,priced,,,20,5,1.0,,internal_price_sweep
"Price C=20, W=10",2,11408.444818131458,6201.20388356663,4255.4650824184855,1468.7249280810775,477.01387306706704,70.3715396965615,379.98101406336,0.05620247824669064,0.30347317635988763,"C1,C2,C3,C4,S1,S3,S4",7,16,386.68652208301756,location_time,priced,,,20,10,1.0,,internal_price_sweep
"Price C=20, W=20",2,15207.31880002452,6201.7678777765495,4255.465082418481,1469.2889222910012,477.01387306706715,70.40899683829387,379.8685492741047,0.056232393524976075,0.3033833559594971,"C1,C2,C3,C4,S1,S3,S4",7,16,386.68652208301756,location_time,priced,,,20,20,1.0,,internal_price_sweep
"Price C=20, W=40",2,22792.166821087878,6264.54196081616,4275.049726204612,1488.0530035618908,501.4392310496576,73.08321180613983,376.649015603723,0.058368164735971485,0.3008120640444084,"C1,C2,C3,C4,S1,S3,S4",7,15,386.6865220830176,location_time,priced,,,20,40,1.0,,internal_price_sweep
"Price C=20, W=80",2,37671.419334076476,6369.306547448494,4316.768512423545,1537.7696047187128,514.7684303062363,80.41202994919207,371.1734023455518,0.06422135118087417,0.2964389462135832,"C1,C2,C3,C4,S1,S3,S4",7,15,386.6865220830165,location_time,priced,,,20,80,1.0,,internal_price_sweep
"Price C=40, W=0",2,8974.596134863781,6253.245416397397,4240.87411116006,1463.603065592741,548.7682396445965,68.03376796165956,387.2665575337683,0.05433540860968831,0.3092918013349349,"C1,C2,C3,C4,S1,S3,S4",7,17,386.6865220830176,location_time,priced,,,40,0,1.0,,internal_price_sweep
