solution,status,has_solution,demand_error,capacity_excess,link_excess,strategic_excess,integer_error,carbon_error,water_error
accounting_location_annual_baseline,2,True,7.105427357601002e-15,1.1368683772161603e-13,0.0,0.0,0.0,0.0,0.0
accounting_location_annual_cap,2,True,6.394884621840902e-14,2.6290081223123707e-13,6.394884621840902e-14,0.0,0.0,0.0,0.0
accounting_location_time_baseline,2,True,7.105427357601002e-15,1.1368683772161603e-13,0.0,0.0,0.0,0.0,0.0
accounting_location_time_cap,2,True,9.947598300641403e-14,7.460698725481052e-14,8.526512829121202e-14,0.0,0.0,0.0,0.0
accounting_market_annual_baseline,2,True,7.105427357601002e-15,1.1368683772161603e-13,0.0,0.0,0.0,0.0,0.0
accounting_market_annual_cap,2,True,7.105427357601002e-15,2.4158453015843406e-13,0.0,0.0,0.0,0.0,0.0
accounting_market_time_baseline,2,True,7.105427357601002e-15,1.1368683772161603e-13,0.0,0.0,0.0,0.0,0.0
accounting_market_time_cap,2,True,7.105427357601002e-15,4.263256414560601e-13,0.0,0.0,0.0,0.0,0.0
audit_3,3,False,,,,,,,
audit_4,2,True,0.0,1.1723955140041653e-13,0.0,0.0,0.0,0.0,0.0
audit_5,2,True,2.3376856006507296e-12,6.750155989720952e-14,0.0,0.0,0.0,0.0,0.0
audit_6,2,True,2.1316282072803006e-14,7.105427357601002e-14,3.552713678800501e-15,0.0,0.0,0.0,0.0
audit_7,3,False,,,,,,,
baseline,2,True,7.105427357601002e-15,1.1368683772161603e-13,0.0,0.0,0.0,0.0,0.0
carbon_cap_100,2,True,7.105427357601002e-15,4.263256414560601e-13,0.0,0.0,0.0,0.0,0.0
carbon_cap_75,2,True,0.0,4.547473508864641e-13,0.0,0.0,0.0,0.0,0.0
carbon_cap_80,2,True,3.552713678800501e-15,6.394884621840902e-14,0.0,0.0,0.0,0.0,0.0
carbon_cap_85,2,True,9.947598300641403e-14,7.460698725481052e-14,8.526512829121202e-14,0.0,0.0,0.0,0.0
carbon_cap_90,2,True,2.1316282072803006e-14,2.1316282072803006e-14,7.105427357601002e-15,0.0,0.0,0.0,0.0
